Localidade,Provincia,Nivel,Tipo,Familia ou rama,Estudo,Centro ou sede,Universidade,Campus,Prazas,Fonte
Ribadavia,Ourense,FP,fp,Industrias alimentarias,Industrias alimentarias,IES O Ribeiro,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Ribadavia,Ourense,FP,fp,Transporte e mantemento de vehículos,Mantemento de vehículos,IES O Ribeiro,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Rúa,Ourense,FP,fp,Informática e comunicacións,Informática de oficina,IES Cosme López Rodríguez,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Verín,Ourense,FP,fp,Transporte e mantemento de vehículos,Mantemento de vehículos,IES García-Barbón,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Verín,Ourense,FP,fp,Administración e xestión,Servizos administrativos,IES García-Barbón,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Viana do Bolo,Ourense,FP,fp,Informática e comunicacións,Informática de oficina,IES Carlos Casares,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Vilamarín,Ourense,FP,fp,Hostalaría e turismo,Actividades de panadaría e pastelaría,CIFP de Vilamarín,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Vilamarín,Ourense,FP,fp,Agraria,Aproveitamentos forestais,CIFP de Vilamarín,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Vilamarín,Ourense,FP,fp,Hostalaría e turismo,Cociña e restauración,CIFP de Vilamarín,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Xinzo de Limia,Ourense,FP,fp,Electricidade e electrónica,Electricidade e electrónica,IES Cidade de Antioquía,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Xinzo de Limia,Ourense,FP,fp,Hostalaría e turismo,Cociña e restauración,IES Lagoa de Antela,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Baiona,Pontevedra,FP,fp,Servizos socioculturais e á comunidade,Actividades domésticas e limpeza de edificios,IES Primeiro de Marzo,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Bueu,Pontevedra,FP,fp,Marítimo-pesqueira,Actividades marítimo-pesqueiras,IES Johan Carballeira,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Bueu,Pontevedra,FP,fp,Fabricación mecánica,Fabricación e montaxe,IES Johan Carballeira,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Bueu,Pontevedra,FP,fp,Imaxe persoal,Peiteado e estética,IES Johan Carballeira,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Cambados,Pontevedra,FP,fp,Informática e comunicacións,Informática de oficina,IES Francisco Asorey,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Cambados,Pontevedra,FP,fp,Agraria,Agroxardinaría e composicións florais,IES Francisco Asorey,,,20,https://www.edu.xunta.gal/fp/oferta-fp
Cambados,Pontevedra,FP,fp,Imaxe persoal,Peiteado e estética,IES Francisco Asorey,,,20,https://www.edu.xunta.gal/fp/oferta-fp
Cangas,Pontevedra,FP,fp,Comercio e márketing,Servizos comerciais,IES de Rodeira,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Cañiza,Pontevedra,FP,fp,Informática e comunicacións,Informática de oficina,IES da Cañiza,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Cañiza,Pontevedra,FP,fp,Transporte e mantemento de vehículos,Mantemento de vehículos,IES da Cañiza,,,18,https://www.edu.xunta.gal/fp/oferta-fp
